ID;[M-H]-;[(M-H)+Na+Cl]-;[M+CH2CN]-;[M+Cl]-;[(M-2H)+Na]-;[M+OH]-;[(M-H)-H2O]-;[(M-H)-2H2O]-;[(M-H)-CO2]-;[(M-H)-HPO3]-;[(M-H)-SO3]-;[M+HCO3]-
S0096;187.1339;245.0926;228.1605;223.1106;209.1159;205.1445;169.1234;151.1128;143.1441;107.1676;107.1772;249.1344
S0271;221.0601;279.0188;262.0867;257.0368;243.0421;239.0707;203.0496;185.039;177.0703;141.0938;141.1033;283.0605
S0183;259.0224;316.9811;300.049;294.9991;281.0044;277.033;241.0119;223.0013;215.0326;179.0561;179.0656;321.0228
S0053;322.0446;380.0032;363.0711;358.0213;344.0265;340.0551;304.034;286.0234;278.0547;242.0782;242.0878;384.045
S0182;402.0109;459.9695;443.0375;437.9876;423.9928;420.0215;384.0003;365.9898;358.0211;322.0446;322.0541;464.0113
S0192;784.1498;842.1085;825.1764;820.1265;806.1318;802.1604;766.1393;748.1287;740.16;704.1835;704.193;846.1503
S0002;101.0608;159.0194;142.0874;137.0375;123.0427;119.0714;83.0502;65.0397;57.071;21.0945;21.104;163.0612
S0035;117.0193;174.978;158.0459;152.996;139.0013;135.0299;99.0088;80.9982;73.0295;37.053;37.0625;179.0197
S0013;130.0873;188.046;171.1139;166.064;152.0693;148.0979;112.0768;94.0662;86.0975;50.121;50.1305;192.0877
S0154;145.0982;203.0569;186.1248;181.0749;167.0802;163.1088;127.0877;109.0771;101.1084;65.1319;65.1414;207.0986
S0140;160.0615;218.0202;201.0881;196.0382;182.0435;178.0721;142.051;124.0404;116.0717;80.0952;80.1047;222.0619
S0224;171.0775;229.0361;212.1041;207.0542;193.0595;189.0881;153.067;135.0564;127.0877;91.1112;91.1207;233.0779
S0147;187.1339;245.0926;228.1605;223.1106;209.1159;205.1445;169.1234;151.1128;143.1441;107.1676;107.1772;249.1344
S0122;222.0772;280.0358;263.1037;258.0539;244.0591;240.0877;204.0666;186.0561;178.0874;142.1109;142.1204;284.0776
S0202;261.0381;318.9967;302.0646;297.0148;283.02;279.0487;243.0275;225.017;217.0483;181.0718;181.0813;323.0385
S0177;323.0286;380.9872;364.0551;359.0053;345.0105;341.0392;305.018;287.0075;279.0388;243.0623;243.0718;385.029
S0261;402.9949;460.9535;444.0215;438.9716;424.9769;421.0055;384.9844;366.9738;359.0051;323.0286;323.0381;464.9953
S0129;101.0608;159.0194;142.0874;137.0375;123.0427;119.0714;83.0502;65.0397;57.071;21.0945;21.104;163.0612
S0117;117.0557;175.0143;158.0823;153.0324;139.0377;135.0663;99.0452;81.0346;73.0659;37.0894;37.0989;179.0561
S0112;130.0873;188.046;171.1139;166.064;152.0693;148.0979;112.0768;94.0662;86.0975;50.121;50.1305;192.0877
S0009;146.0459;204.0045;187.0724;182.0226;168.0278;164.0564;128.0353;110.0248;102.0561;66.0796;66.0891;208.0463
S0210;161.0455;219.0042;202.0721;197.0222;183.0275;179.0561;143.035;125.0244;117.0557;81.0792;81.0887;223.0459
S0081;172.0979;230.0565;213.1245;208.0746;194.0799;190.1085;154.0874;136.0768;128.1081;92.1316;92.1411;234.0983
S0077;188.0564;246.0151;229.083;224.0331;210.0384;206.067;170.0459;152.0353;144.0666;108.0901;108.0996;250.0568
S0203;227.0326;284.9912;268.0592;263.0093;249.0146;245.0432;209.022;191.0115;183.0428;147.0663;147.0758;289.033
S0093;263.1037;321.0624;304.1303;299.0804;285.0857;281.1143;245.0932;227.0826;219.1139;183.1374;183.1469;325.1041
S0170;328.0452;386.0039;369.0718;364.0219;350.0272;346.0558;310.0347;292.0241;284.0554;248.0789;248.0884;390.0456
S0279;421.0752;479.0339;462.1018;457.0519;443.0572;439.0858;403.0647;385.0541;377.0854;341.1089;341.1185;483.0757
S0125;101.1084;159.067;142.135;137.0851;123.0904;119.119;83.0979;65.0873;57.1186;21.1421;21.1516;163.1088
S0064;118.0509;176.0096;159.0775;154.0276;140.0329;136.0615;100.0404;82.0298;74.0611;38.0846;38.0942;180.0514
S0175;130.9986;188.9572;172.0251;166.9753;152.9805;149.0092;112.988;94.9775;87.0088;51.0323;51.0418;192.999
S0254;146.0459;204.0045;187.0724;182.0226;168.0278;164.0564;128.0353;110.0248;102.0561;66.0796;66.0891;208.0463
S0171;163.04;220.9987;204.0666;199.0167;185.022;181.0506;145.0295;127.0189;119.0502;83.0737;83.0833;225.0405
S0134;172.0979;230.0565;213.1245;208.0746;194.0799;190.1085;154.0874;136.0768;128.1081;92.1316;92.1411;234.0983
S0103;190.0543;248.013;231.0809;226.031;212.0363;208.0649;172.0438;154.0332;146.0645;110.088;110.0975;252.0547
S0094;227.0673;285.026;268.0939;263.044;249.0493;245.0779;209.0568;191.0462;183.0775;147.101;147.1105;289.0677
S0043;266.0895;324.0481;307.116;302.0662;288.0714;284.1;248.0789;230.0683;222.0996;186.1231;186.1327;328.0899
S0184;330.0609;388.0195;371.0874;366.0376;352.0428;348.0715;312.0503;294.0398;286.0711;250.0946;250.1041;392.0613
S0199;426.0221;483.9808;467.0487;461.9988;448.0041;444.0327;408.0116;390.001;382.0323;346.0558;346.0653;488.0225
S0025;102.056;160.0147;143.0826;138.0327;124.038;120.0666;84.0455;66.0349;58.0662;22.0897;22.0992;164.0564
S0152;118.0509;176.0096;159.0775;154.0276;140.0329;136.0615;100.0404;82.0298;74.0611;38.0846;38.0942;180.0514
S0155;131.0462;189.0048;172.0728;167.0229;153.0282;149.0568;113.0357;95.0251;87.0564;51.0799;51.0894;193.0466
S0145;147.0663;205.0249;188.0928;183.043;169.0482;165.0768;129.0557;111.0452;103.0765;67.1;67.1095;209.0667
S0166;163.0612;221.0198;204.0877;199.0379;185.0431;181.0718;145.0506;127.0401;119.0714;83.0949;83.1044;225.0616
S0256;173.0931;231.0518;214.1197;209.0698;195.0751;191.1037;155.0826;137.072;129.1033;93.1268;93.1364;235.0936
S0141;191.0197;248.9783;232.0463;226.9964;213.0017;209.0303;173.0092;154.9986;147.0299;111.0534;111.0629;253.0201
S0115;227.1401;285.0987;268.1667;263.1168;249.1221;245.1507;209.1296;191.119;183.1503;147.1738;147.1833;289.1405
S0067;267.0735;325.0321;308.1;303.0502;289.0554;285.0841;249.0629;231.0524;223.0837;187.1072;187.1167;329.0739
S0273;338.9887;396.9474;380.0153;374.9655;360.9707;356.9993;320.9782;302.9676;294.9989;259.0224;259.032;400.9892
S0253;442.017;499.9757;483.0436;477.9937;463.999;460.0276;424.0065;405.9959;398.0272;362.0507;362.0602;504.0174
S0052;103.0037;160.9623;144.0302;138.9804;124.9856;121.0142;84.9931;66.9826;59.0139;23.0374;23.0469;165.0041
S0126;119.035;176.9936;160.0615;155.0117;141.0169;137.0455;101.0244;83.0139;75.0452;39.0687;39.0782;181.0354
S0123;131.0713;189.03;172.0979;167.048;153.0533;149.0819;113.0608;95.0502;87.0815;51.105;51.1146;193.0718
S0062;148.0437;206.0024;189.0703;184.0205;170.0257;166.0543;130.0332;112.0226;104.0539;68.0774;68.087;210.0442
S0148;163.0612;221.0198;204.0877;199.0379;185.0431;181.0718;145.0506;127.0401;119.0714;83.0949;83.1044;225.0616
S0111;173.1044;231.063;214.1309;209.0811;195.0863;191.115;155.0938;137.0833;129.1146;93.1381;93.1476;235.1048
S0021;191.0561;249.0147;232.0827;227.0328;213.0381;209.0667;173.0455;155.035;147.0663;111.0898;111.0993;253.0565
S0216;229.0119;286.9705;270.0384;264.9886;250.9938;247.0224;211.0013;192.9907;185.022;149.0455;149.0551;291.0123
S0185;275.0173;332.976;316.0439;310.994;296.9993;293.0279;257.0068;238.9962;231.0275;195.051;195.0605;337.0178
S0167;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0172;455.0973;513.056;496.1239;491.074;477.0793;473.1079;437.0868;419.0762;411.1075;375.131;375.1405;517.0977
S0309;103.04;160.9987;144.0666;139.0167;125.022;121.0506;85.0295;67.0189;59.0502;23.0737;23.0833;165.0405
S0015;121.0295;178.9881;162.0561;157.0062;143.0114;139.0401;103.0189;85.0084;77.0397;41.0632;41.0727;183.0299
S0163;131.0826;189.0412;172.1092;167.0593;153.0645;149.0932;113.072;95.0615;87.0928;51.1163;51.1258;193.083
S0057;149.0091;206.9678;190.0357;184.9858;170.9911;167.0197;130.9986;112.988;105.0193;69.0428;69.0523;211.0096
S0029;164.0717;222.0303;205.0983;200.0484;186.0536;182.0823;146.0611;128.0506;120.0819;84.1054;84.1149;226.0721
S0070;174.0408;231.9994;215.0673;210.0175;196.0227;192.0514;156.0302;138.0197;130.051;94.0745;94.084;236.0412
S0026;193.0354;250.994;234.0619;229.0121;215.0173;211.0459;175.0248;157.0142;149.0455;113.069;113.0786;255.0358
S0259;229.0119;286.9705;270.0384;264.9886;250.9938;247.0224;211.0013;192.9907;185.022;149.0455;149.0551;291.0123
S0143;282.0844;340.043;323.1109;318.0611;304.0663;300.095;264.0738;246.0633;238.0946;202.1181;202.1276;344.0848
S0028;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0217;465.9823;523.9409;507.0089;501.959;487.9643;483.9929;447.9718;429.9612;421.9925;386.016;386.0255;527.9827
S0060;104.0353;161.9939;145.0619;140.012;126.0173;122.0459;86.0248;68.0142;60.0455;24.069;24.0785;166.0357
S0010;121.0407;178.9994;162.0673;157.0174;143.0227;139.0513;103.0302;85.0196;77.0509;41.0744;41.0839;183.0411
S0156;132.0302;189.9889;173.0568;168.0069;154.0122;150.0408;114.0197;96.0091;88.0404;52.0639;52.0734;194.0306
S0041;149.0455;207.0042;190.0721;185.0222;171.0275;167.0561;131.035;113.0244;105.0557;69.0792;69.0887;211.0459
S0072;165.0557;223.0143;206.0823;201.0324;187.0377;183.0663;147.0452;129.0346;121.0659;85.0894;85.0989;227.0561
S0142;174.0884;232.047;215.115;210.0651;196.0704;192.099;156.0779;138.0673;130.0986;94.1221;94.1316;236.0888
S0001;195.051;253.0096;236.0776;231.0277;217.033;213.0616;177.0405;159.0299;151.0612;115.0847;115.0942;257.0514
S0215;229.0119;286.9705;270.0384;264.9886;250.9938;247.0224;211.0013;192.9908;185.0221;149.0455;149.0551;291.0123
S0099;283.0684;341.027;324.095;319.0451;305.0504;301.079;265.0578;247.0473;239.0786;203.1021;203.1116;345.0688
S0087;341.1089;399.0676;382.1355;377.0856;363.0909;359.1195;323.0984;305.0878;297.1191;261.1426;261.1521;403.1093
S0194;480.982;538.9406;522.0085;516.9587;502.9639;498.9926;462.9714;444.9609;436.9922;401.0157;401.0252;542.9824
S0132;105.0193;162.978;146.0459;140.996;127.0013;123.0299;87.0088;68.9982;61.0295;25.053;25.0625;167.0197
S0011;122.0247;179.9834;163.0513;158.0014;144.0067;140.0353;104.0142;86.0036;78.0349;42.0584;42.0679;184.0251
